bcode,scode,bname,sname,pb,convertprice,huishoujia,qiangshujia,expire
128024,002142.XSHE,宁行转债,宁波银行,1.31,18.01,-,23.41,45265
128025,002728.XSHE,特一转债,特一药业,3.02,16.1,11.27,20.93,45266
123003,300433.XSHE,蓝思转债,蓝思科技,2.73,16.08,11.26,20.9,45268
128023,002284.XSHE,亚太转债,亚太股份,1.39,10.34,7.24,13.44,45268
128026,002772.XSHE,众兴转债,众兴菌业,1.02,11.64,8.15,15.13,45273
128027,002815.XSHE,崇达转债,崇达技术,5.88,15.11,10.58,19.64,45275
113503,603738.XSHG,泰晶转债,泰晶科技,3.92,17.99,12.59,23.39,45275
123004,300197.XSHE,铁汉转债,铁汉生态,1.91,8.23,5.76,10.7,45278
123006,300059.XSHE,东财转债,东方财富,4.31,11.36,7.95,14.77,45280
110041,600863.XSHG,蒙电转债,内蒙华电,1.23,2.92,2.04,3.8,45281
128028,002460.XSHE,赣锋转债,赣锋锂业,7.4,47.61,33.33,61.89,45281
128030,002100.XSHE,天康转债,天康生物,1.83,8.15,5.71,10.6,45282
110042,600372.XSHG,航电转债,中航电子,3.17,14.23,9.96,18.5,45284
128032,002472.XSHE,双环转债,双环传动,1.45,9.99,6.99,12.99,45285
128033,002658.XSHE,迪龙转债,雪迪龙,2.2,9.03,6.32,11.74,45287
113017,601929.XSHG,吉视转债,吉视传媒,0.98,2.96,2.07,3.85,45287
123007,300409.XSHE,道氏转债,道氏技术,4.27,24.99,17.49,32.49,45288
113018,601128.XSHG,常熟转债,常熟银行,1.13,5.76,-,7.49,45310
128034,002807.XSHE,江银转债,江阴银行,1,5.67,-,7.37,45317
110043,600908.XSHG,无锡转债,无锡银行,1.03,6.7,-,8.71,45321
123008,300601.XSHE,康泰转债,康泰生物,20.61,31.23,21.86,40.6,45323
128035,002008.XSHE,大族转债,大族激光,5.64,52.5,36.75,68.25,45328
113504,603989.XSHG,艾华转债,艾华集团,4.54,21.73,15.21,28.25,45352
113505,603618.XSHG,杭电转债,杭电股份,1.85,7.29,5.1,9.48,45356
123009,300568.XSHE,星源转债,星源材质,4.07,27.69,19.38,36,45358
128036,002548.XSHE,金农转债,金新农,1.67,9.62,6.73,12.51,45360
127005,000783.XSHE,长证转债,长江证券,1.04,7.45,-,9.69,45363
127006,000623.XSHE,敖东转债,吉林敖东,0.92,20.82,14.57,27.07,45364
128037,002542.XSHE,岩土转债,中化岩土,2.39,8.03,5.62,10.44,45366
128038,002131.XSHE,利欧转债,利欧股份,1.34,2.75,1.93,3.58,45373
113506,603421.XSHG,鼎信转债,鼎信通讯,3.53,21.65,15.15,28.14,45398
113507,603668.XSHG,天马转债,天马科技,2.63,10.98,7.69,14.27,45399
113508,603225.XSHG,新凤转债,新凤鸣,2.51,23.74,16.62,30.86,45407
113509,603179.XSHG,新泉转债,新泉股份,2.74,25.34,17.74,32.94,45446
128039,002224.XSHE,三力转债,三力士,1.97,5.84,4.09,7.59,45450
128040,002758.XSHE,华通转债,华通医药,2.74,11.45,8.02,14.88,45456
113510,603601.XSHG,再升转债,再升科技,3.2,11.32,9.06,14.72,45461
113511,603027.XSHG,千禾转债,千禾味业,4.04,25.86,18.1,33.62,45462
110044,600831.XSHG,广电转债,广电网络,1.12,6.91,4.84,8.98,45470
127007,000665.XSHE,湖广转债,湖北广电,0.84,10.16,7.11,13.21,45471
123010,300422.XSHE,博世转债,博世科,3.6,14.3,10.01,18.59,45478
113512,603228.XSHG,景旺转债,景旺电子,6.85,50.01,35.01,65.01,45479
113513,603345.XSHG,安井转债,安井食品,4.45,35.46,24.82,46.1,45485
110045,600398.XSHG,海澜转债,海澜之家,4.01,12.4,8.68,16.12,45486
128041,002446.XSHE,盛路转债,盛路通信,2.1,6.88,4.82,8.94,45489
123011,300473.XSHE,德尔转债,德尔股份,2.07,35.26,24.68,45.84,45491
123012,300057.XSHE,万顺转债,万顺股份,1.04,6.47,4.53,8.41,45493
113515,603588.XSHG,高能转债,高能环境,2.54,9.38,6.57,12.19,45499
123013,300539.XSHE,横河转债,横河模具,4.47,9.26,6.48,12.04,45499
113516,603323.XSHG,吴银转债,吴江银行,1.06,6.34,-,8.24,45505
128043,002793.XSHE,东音转债,东音股份,3.11,13.47,9.43,17.51,45506
113517,603019.XSHG,曙光转债,中科曙光,10.26,51.28,35.9,66.66,45510
