,,,,,,涨跌,,,价值,,价值,,价值,触发价,触发价,占比,持仓,,年限,税前收益,税后收益,收益,(万元),
113502,嘉澳转债,95.9,-1.39%,嘉澳环保,24.4,-6.05%,2.37,45.27,53.9,77.92%,购买,AA-,购买,31.69,58.85,10.30%,会员,2023/11/9,4.515,3.76%,3.21%,购买,130.89,???
132007,16凤凰EBQ,98.08,-0.56%,凤凰传媒,7.94,-3.64%,1.48,15.36,51.69,90.74%,购买,AAA,购买,12.29,19.97,24.70%,会员,2021/10/31,2.49,3.77%,3.14%,购买,196.16,???
127004,模塑转债,94.8,-0.91%,模塑科技,3.75,-9.64%,1.34,7.72,48.58,95.14%,购买,AA,购买,5.4,10.04,26.20%,会员,2023/6/2,4.077,4.97%,4.26%,购买,580.4,???
128023,亚太转债,93.82,-1.00%,亚太股份,4.95,-7.99%,1.31,10.34,47.87,95.99%,购买,AA,购买,7.24,13.44,27.40%,会员,2023/12/8,4.595,4.18%,3.63%,购买,368.85,???
110031,航信转债,109.4,-1.44%,航天信息,23.53,-7.65%,3.77,42.38,55.52,97.05%,购买,AAA,购买,29.67,55.09,5.50%,会员,2021/6/12,2.104,0.27%,-0.62%,购买,742.5,???
132008,17山高EB,99.2,0.11%,山东高速,4.68,-4.88%,0.81,9.62,48.65,104.03%,购买,AAA,购买,6.73,12.51,11.10%,会员,2022/4/24,2.97,3.93%,3.21%,购买,297.66,???
128010,顺昌转债,100.9,-1.04%,澳洋顺昌,4.56,-9.88%,2.19,9.26,49.24,104.91%,购买,AA,购买,6.48,12.04,11.40%,会员,2022/1/22,2.718,3.70%,2.91%,购买,425.71,???
128012,辉丰转债,97.203,-0.45%,辉丰股份,3.41,1.19%,1.62,7.71,44.23,119.77%,购买,A+,购买,5.4,10.02,16.40%,会员,2022/4/21,2.962,2.87%,2.49%,购买,2288.55,???
132011,17浙报EBQ,93,0.00%,浙数文化,9.49,-5.10%,1.55,24.39,38.91,140.87%,购买,AAA,购买,17.07,31.71,19.40%,会员,2022/8/17,3.285,4.19%,3.75%,购买,0,???
128013,洪涛转债,96.748,-0.82%,洪涛股份,3.33,-9.26%,1.29,9.98,33.37,189.93%,购买,AA,购买,6.99,12.97,28.80%,会员,2022/7/29,3.233,4.83%,4.08%,购买,874.03,???
