bcode,scode,bname,sname,pb,convertprice,huishoujia,qiangshujia,expire
123003,,蓝思转债,蓝思科技,2.73,16.08,11.26,20.9,45268
128023,,亚太转债,亚太股份,1.39,10.34,7.24,13.44,45268
128026,,众兴转债,众兴菌业,1.02,11.64,8.15,15.13,45273
128027,,崇达转债,崇达技术,5.88,15.11,10.58,19.64,45275
113503,,泰晶转债,泰晶科技,3.92,17.99,12.59,23.39,45275
123004,,铁汉转债,铁汉生态,1.91,8.23,5.76,10.7,45278
123006,,东财转债,东方财富,4.31,11.36,7.95,14.77,45280
110041,,蒙电转债,内蒙华电,1.23,2.92,2.04,3.8,45281
128028,,赣锋转债,赣锋锂业,7.4,47.61,33.33,61.89,45281
128030,,天康转债,天康生物,1.83,8.15,5.71,10.6,45282
110042,,航电转债,中航电子,3.17,14.23,9.96,18.5,45284
128032,,双环转债,双环传动,1.45,9.99,6.99,12.99,45285
128033,,迪龙转债,雪迪龙,2.2,9.03,6.32,11.74,45287
113017,,吉视转债,吉视传媒,0.98,2.96,2.07,3.85,45287
123007,,道氏转债,道氏技术,4.27,24.99,17.49,32.49,45288
113018,,常熟转债,常熟银行,1.13,5.76,-,7.49,45310
128034,,江银转债,江阴银行,1,5.67,-,7.37,45317
110043,,无锡转债,无锡银行,1.03,6.7,-,8.71,45321
123008,,康泰转债,康泰生物,20.61,31.23,21.86,40.6,45323
128035,,大族转债,大族激光,5.64,52.5,36.75,68.25,45328
113504,,艾华转债,艾华集团,4.54,21.73,15.21,28.25,45352
113505,,杭电转债,杭电股份,1.85,7.29,5.1,9.48,45356
123009,,星源转债,星源材质,4.07,27.69,19.38,36,45358
128036,,金农转债,金新农,1.67,9.62,6.73,12.51,45360
127005,,长证转债,长江证券,1.04,7.45,-,9.69,45363
127006,,敖东转债,吉林敖东,0.92,20.82,14.57,27.07,45364
128037,,岩土转债,中化岩土,2.39,8.03,5.62,10.44,45366
128038,,利欧转债,利欧股份,1.34,2.75,1.93,3.58,45373
113506,,鼎信转债,鼎信通讯,3.53,21.65,15.15,28.14,45398
113507,,天马转债,天马科技,2.63,10.98,7.69,14.27,45399
113508,,新凤转债,新凤鸣,2.51,23.74,16.62,30.86,45407
