bond_code,bond_name,stock_name,parkinson,garmanKlass,rogersSatchell,garmanKlassYang,yangZhang,normal
132018,G三峡EB1,长江电力,0.21189262273245593,0.2172459974008716,0.30296711171821245,0.23594390884494587,0.30206772812100957,0.2031873986366705
110053,苏银转债,江苏银行,0.21230277325251082,0.20956288788561295,0.3137926902453911,0.238053910345321,0.3061889042671528,0.2432907662841472
110059,浦发转债,浦发银行,0.2553922199718057,0.26099159201943484,0.3664557532438124,0.2878138782862649,0.36882737385987957,0.25546140152406416
132009,17中油EB,中国石油,0.2539035892839571,0.2600321819248685,0.3694170066559253,0.2873701872994448,0.37028750933036103,0.25683308950374534
132015,18中油EB,中国石油,0.2539035892839571,0.2600321819248685,0.3694170066559253,0.2873701872994448,0.37028750933036103,0.25683308950374534
113011,光大转债,光大银行,0.2865321912065935,0.29162252536717015,0.4115803374428678,0.31704868459073693,0.4106423706203217,0.2818219741487639
110061,川投转债,川投能源,0.2762853319043819,0.27692308153774686,0.3773795691352572,0.30449663274345484,0.3835382159384559,0.2905112020421678
113021,中信转债,中信银行,0.33699469037782925,0.34521716840196315,0.49279480897369254,0.3741330572537445,0.4880665648521916,0.32705978706160205
132005,15国资EB,中国太保,0.3385969472212586,0.34356871428500996,0.48236096821666463,0.37759145271071815,0.48522624170437334,0.3349504287630007
127012,招路转债,招商公路,0.3137423789425384,0.3153075712928826,0.4487060140882182,0.33073402665596696,0.4328927677738767,0.3377419236716991
113019,玲珑转债,玲珑轮胎,0.29036843950936936,0.2874471474500712,0.40459778334725083,0.3421854288107645,0.420348890277358,0.3436549509531575
110045,海澜转债,海澜之家,0.35679724564482745,0.36721748271005844,0.5047623144300967,0.39464736592100547,0.5007337740476162,0.35185130234678863
132004,15国盛EB,上海建工,0.34136474943502104,0.3453372787016133,0.4760954318292261,0.3793123325557648,0.4810779135523822,0.35350254602036746
132008,17山高EB,山东高速,0.338669145599151,0.34050578435805634,0.4773821644108152,0.37591979164929135,0.4830173216103072,0.36233495691584966
127006,敖东转债,吉林敖东,0.3249993421748229,0.3234252201557572,0.45098223912087404,0.360914928646511,0.4614643065816432,0.3631219765024933
113013,国君转债,国泰君安,0.3278215271116812,0.32191675172069983,0.4649553883220519,0.36793664625306194,0.47361429302214353,0.3702197257028937
132014,18中化EBQ,中国化学,0.36418064584751964,0.3674595196644788,0.5094615786318654,0.39826883115718964,0.5100153438180991,0.3720880645712532
132013,17宝武EBQ,宝钢股份,0.359564666525557,0.3652750913660934,0.5113268891201108,0.403727902964359,0.5163437170375801,0.3722105890781599
113026,核能转债,中国核电,0.29933122695795683,0.2967664047323346,0.4241933179771597,0.374399882130613,0.4591630757095022,0.37420525564025003
113009,广汽转债,广汽集团,0.38048613486931376,0.3902873351708638,0.5423451395122998,0.4231430600254685,0.5404458215948075,0.37557313556803923
110047,山鹰转债,山鹰纸业,0.355306970021119,0.3565938408569076,0.49867007663915597,0.39652272347155726,0.50715077460101,0.3789048345167238
110063,鹰19转债,山鹰纸业,0.355306970021119,0.3565938408569076,0.49867007663915597,0.39652272347155726,0.50715077460101,0.3789048345167238
128081,海亮转债,海亮股份,0.36025247892433804,0.3654511670037746,0.4994784448739341,0.4122784130863727,0.5138095332988024,0.3790244214056512
127007,湖广转债,湖北广电,0.33915592170374964,0.33793159830629566,0.47115136114154477,0.38311327396903794,0.48638426118643546,0.3790543427015411
110041,蒙电转债,内蒙华电,0.3493830802309505,0.35143228540254057,0.48762276441856217,0.38759964413666304,0.4940084779787681,0.3822691509723958
113028,环境转债,上海环境,0.3112628499802472,0.2974174167226494,0.4238691444984393,0.35055142146631346,0.4392113046012746,0.382785463945498
113518,顾家转债,顾家家居,0.37476249340135437,0.37750179279608553,0.5284885712867537,0.41556265074461285,0.5251777511793827,0.3875481227770881
113550,常汽转债,常熟汽饰,0.33852887321852737,0.32832361240726116,0.47562383879494047,0.38205943310678725,0.4880845343857621,0.3897078437984841
113508,新凤转债,新凤鸣,0.3250131924787461,0.31461133698379706,0.44411951102394853,0.3704665116658462,0.46044327667657775,0.39093437123676117
113017,吉视转债,吉视传媒,0.37751540756266816,0.3771888646373744,0.5178418048509675,0.41053356479679937,0.5225656922370365,0.39284938398047564
128055,长青转2,长青股份,0.360045678415104,0.35439359698321604,0.4959290375552763,0.3902784645214747,0.5042926065184443,0.39304294889874575
132007,16凤凰EBQ,凤凰传媒,0.36290346170175625,0.3611198554596704,0.49756240045786965,0.4022414868116133,0.5097376035441886,0.39433663480448145
113543,欧派转债,欧派家居,0.3989335618837972,0.4071750512652713,0.5626094494137419,0.4565816481505073,0.5742530858741498,0.4000149614197736
113016,小康转债,小康股份,0.30336188309727796,0.30065164027113384,0.41320524509103707,0.4030216264406677,0.4700350537069418,0.4021991563060204
110034,九州转债,九州通,0.4077792653128192,0.4141180489916388,0.569041218207167,0.44689238018441524,0.5682903997188414,0.4066055525654989
113520,百合转债?!,梦百合,0.3839601812066787,0.3876737447495623,0.5392726293459658,0.4436447239709643,0.5583994654724629,0.4090820457919179
113535,大业转债,大业股份,0.3610397520756111,0.3614486380986715,0.49642307296102295,0.4270521896036635,0.5277698052970069,0.4092293727094122
110038,济川转债,济川药业,0.408967545411932,0.4110036715323996,0.5681585716293128,0.44156508488759644,0.5669877006151096,0.4119178868625068
113544,桃李转债,桃李面包,0.3852617387927476,0.3919322019724998,0.5493951909813575,0.4613602856108419,0.5765092655830125,0.41275452349745834
110051,中天转债,中天科技,0.37592704542015054,0.37367629340492614,0.513287148252781,0.42886379669876395,0.5364879722536887,0.4137646163751825
