,,,,,,涨跌,,,价值,,价值,,价值,触发价,触发价,占比,持仓,,年限,税前收益,税后收益,收益,(万元),
113025,明泰转债,116.75,0.01%,明泰铝业,11.5,0.09%,1.01,11.3,101.77,14.72%,购买,AA,购买,7.91,14.69,25.90%,2.08%,2025/4/9,5.268,-0.21%,-0.73%,购买,3.27,
113541,荣晟转债,106.7,0.09%,荣晟环保,17.38,-1.70%,2.16,18.72,92.84,14.93%,购买,AA-,购买,13.1,24.34,10.70%,-,2025/7/22,5.553,1.47%,0.96%,购买,19.1,
128034,江银转债,115.03,-0.15%,江阴银行,4.69,0.00%,0.9,4.680**,100.21,14.79%,购买,AA+,购买,-,6.08,17.30%,12.83%,2024/1/26,4.066,-1.20%,-1.63%,购买,2.65,
128075,远东转债,119.001,-0.66%,远东传动,5.99,-0.66%,1.19,5.79,103.45,15.03%,购买,AA,购买,4.05,7.53,26.60%,-,2025/9/23,5.726,-0.57%,-1.04%,购买,29.89,
128051,光华转债,113.65,0.00%,光华科技,12.57,-1.02%,3.7,12.720*,98.82,15.01%,购买,AA-,购买,8.9,16.54,5.30%,33.34%,2024/12/14,4.951,0.33%,-0.23%,购买,0,
110056,亨通转债,121.26,0.42%,亨通光电?R,16.48,0.00%,2.33,15.680*,105.1,15.38%,购买,AA+,购买,10.98,20.38,5.50%,0.04%,2025/3/19,5.211,-1.01%,-1.52%,购买,2.06,
113503,泰晶转债,145.8,2.78%,泰晶科技,22.7,5.39%,5.16,17.9,126.82,14.97%,购买,AA,购买,12.53,23.27,1.70%,9.24%,2023/12/15,3.951,-6.50%,-7.01%,购买,3534.77,
128083,新北转债,120.121,-0.07%,新北洋?R,12.36,-0.08%,2.5,11.9,103.87,15.65%,购买,AA,购买,8.33,15.47,10.70%,-,2025/12/12,5.945,-0.71%,-1.16%,购买,207.8,
128036,金农转债,109.801,0.05%,金新农?R,9.13,0.44%,2.3,9.62,94.91,15.69%,购买,AA-,购买,6.73,12.51,3.70%,4.44%,2024/3/9,4.184,0.24%,-0.24%,购买,2.31,
110052,贵广转债,118.99,0.00%,贵广网络?R,8.24,0.12%,1.85,8.04,102.49,16.10%,购买,AA+,购买,5.63,10.45,17.60%,2.72%,2025/3/5,5.173,0.00%,-0.64%,购买,0,
123035,利德转债,129.88,0.28%,利亚德?R,7.91,0.38%,2.41,7.04,112.36,15.59%,购买,AA+,购买,4.93,9.15,4.00%,-,2025/11/13,5.866,-2.00%,-2.46%,购买,4.44,
128040,华通转债,109.858,0.00%,华通医药,10.78,0.94%,3.39,11.37,94.81,15.87%,购买,AA-,购买,7.96,14.78,9.80%,3.87%,2024/6/13,4.447,0.63%,0.10%,购买,5.71,
128063,未来转债,111.5,1.08%,德尔未来?R,8.29,1.10%,3.03,8.67,95.62,16.61%,购买,AA-,购买,6.07,11.27,11.40%,-,2025/4/3,5.252,2.85%,1.93%,购买,32.51,
123033,金力转债,111.79,0.52%,金力永磁,39.66,0.46%,14.02,41.2,96.26,16.13%,购买,AA-,购买,28.84,53.56,2.70%,-,2025/10/31,5.83,1.53%,0.88%,购买,9.34,
128069,华森转债,107.3,0.04%,华森制药,16.65,-0.48%,6.45,18.08,92.09,16.52%,购买,AA-,购买,12.66,23.5,4.50%,0.09%,2025/6/24,5.477,2.19%,1.52%,购买,5.8,
113542,好客转债,113.72,0.19%,好莱客,16.17,0.12%,1.98,16.62,97.29,16.89%,购买,AA,购买,11.63,21.61,12.60%,-,2025/7/31,5.578,0.25%,-0.24%,购买,1.02,
113531,百姓转债,126.98,0.00%,老百姓?R,65.13,-1.02%,5.55,60.09,108.39,17.15%,购买,AA,购买,42.06,78.12,1.80%,1.79%,2024/3/28,4.236,-2.83%,-3.34%,购买,0,
110033,国贸转债,117,0.17%,厦门国贸?R,7.42,0.13%,0.56,7.420*,100,17.00%,购买,AAA,购买,5.19,9.65,8.80%,11.42%,2022/1/5,2.008,-2.60%,-3.58%,购买,5.52,
110058,永鼎转债,107.07,0.07%,永鼎股份?R,4.66,-0.64%,2.09,5.100*,91.37,17.18%,购买,AA,购买,3.57,6.63,16.90%,0.05%,2025/4/15,5.285,1.44%,0.91%,购买,27.19,
128070,智能转债,106.523,0.42%,智能自控,8.67,-0.46%,3.94,9.55,90.79,17.33%,购买,A+,购买,-,12.41,8.00%,-,2025/7/2,5.499,1.94%,1.34%,购买,6,
128058,拓邦转债,120.263,0.00%,拓邦股份,5.69,0.35%,2.36,5.54,102.71,17.09%,购买,AA,购买,3.88,7.2,9.90%,5.56%,2025/3/7,5.178,0.45%,-0.31%,购买,0.04,
