bond_code,bond_name,stock_name,parkinson,garmanKlass,rogersSatchell,garmanKlassYang,yangZhang,normal
132018,G三峡EB1,长江电力,0.21117122285878412,0.21648939678914303,0.3024631792683136,0.23625533349085975,0.30233592031167206,0.20337049556726278
110053,苏银转债,江苏银行,0.20885495383579464,0.20625477625455585,0.30805359957378614,0.24013946217703905,0.3057209717927619,0.24365782165401775
110059,浦发转债,浦发银行,0.25304294118139514,0.2584939399086887,0.3625945586785012,0.2890025066925134,0.36812744882690424,0.2572867145950929
132009,17中油EB,中国石油,0.2511004556440775,0.2571119996487144,0.3652413086391888,0.28748393882770895,0.36863768006505215,0.25765341455393403
132015,18中油EB,中国石油,0.2511004556440775,0.2571119996487144,0.3652413086391888,0.28748393882770895,0.36863768006505215,0.25765341455393403
113011,光大转债,光大银行,0.2829980277857125,0.2878829402954469,0.4060742667824426,0.31519280769201063,0.4069124300035183,0.28109919186718046
110061,川投转债,川投能源,0.2733527397173567,0.27424130525164125,0.374076439778497,0.3039690171367411,0.38191399729901293,0.28879559038492997
113021,中信转债,中信银行,0.331176769038684,0.33926557765829196,0.4840706596041983,0.36976175087519614,0.48100612815801946,0.3234040268236451
127012,招路转债,招商公路,0.30439172501618783,0.3067243469079963,0.4350528669880713,0.331450909769484,0.4272334223791667,0.3342028411323131
132005,15国资EB,中国太保,0.335499672190219,0.3403197159837734,0.4771862014542173,0.3776694899566538,0.4829782498213131,0.336527936432901
110045,海澜转债,海澜之家,0.3523900498707182,0.36277970767150086,0.4984047582069295,0.39266431094108173,0.4966020468207739,0.3506299429431933
113019,玲珑转债,玲珑轮胎,0.295820264132358,0.2928956525236388,0.4117149805196523,0.3513724502524138,0.43123666954988527,0.3519932430714041
132004,15国盛EB,上海建工,0.3380913341654478,0.3421020399676816,0.4720249007550432,0.37836170023329807,0.4788964898809935,0.35287675771739513
132008,17山高EB,山东高速,0.3340974587163583,0.33591662534180655,0.4709082432347544,0.37313154549141786,0.4782002611250256,0.3598039113626636
127006,敖东转债,吉林敖东,0.3235147897059006,0.3218438211712523,0.44947362629713444,0.3622285269270164,0.46221859652192526,0.3640704963635462
128096,奥瑞转债,奥瑞金,0.3515127893615082,0.3528649400612686,0.48795693323741507,0.3929092358115064,0.4981065663108472,0.3658142937750963
128087,孚日转债,孚日股份,0.35243704167174633,0.3548050439258593,0.4963226891177557,0.3930378724744052,0.5029662328873662,0.36913914322980756
113026,核能转债,中国核电,0.2941323458227944,0.2916999459917173,0.41723753110016437,0.37007585685529754,0.4533050151395002,0.3691589375762521
132013,17宝武EBQ,宝钢股份,0.3543446011106745,0.35968213373256597,0.5040083344581038,0.40042970487399937,0.5111791046236062,0.37027765892081427
113013,国君转债,国泰君安,0.32546759494509137,0.31974523495884927,0.46145835194755663,0.3697505979484529,0.47366412539369324,0.3717263267622748
132014,18中化EBQ,中国化学,0.36390029702636556,0.3665946978048483,0.5096470356831222,0.4005962054315815,0.5126765583091356,0.37572197188119716
128081,海亮转债,海亮股份,0.35761189615746614,0.3629384643493676,0.49659505927760145,0.41132581233858845,0.5121502509492264,0.3788287679350026
113009,广汽转债,广汽集团,0.3808249482015717,0.3903292951688283,0.5422432374916263,0.42552028243574735,0.5423158112848312,0.37955029411212543
110047,山鹰转债,山鹰纸业,0.3548260593259281,0.3559778265548694,0.49893560098270123,0.3995947705106968,0.5100613202701809,0.381487984921099
110063,鹰19转债,山鹰纸业,0.3548260593259281,0.3559778265548694,0.49893560098270123,0.3995947705106968,0.5100613202701809,0.381487984921099
110041,蒙电转债,内蒙华电,0.3485319082663177,0.35028385444061727,0.4880191386891343,0.388537862942148,0.49582206257237116,0.38352481927017107
113508,新凤转债,新凤鸣,0.32346996843192627,0.31538461456496164,0.4439451510144612,0.3750310074410211,0.46358747159487435,0.38943553839842693
113028,环境转债,上海环境,0.3160994505414456,0.30356062772343373,0.43411032469974853,0.3614814273343909,0.4532656068652653,0.39031969984678194
113518,顾家转债,顾家家居,0.37833017489712223,0.38291058823783775,0.5329339508088292,0.4248602839966032,0.5328960455475992,0.3923470184367053
132007,16凤凰EBQ,凤凰传媒,0.3596628171560579,0.3574187551301824,0.4933329907430027,0.4005961323030293,0.507355781042402,0.3933999458133654
127015,希望转债,新希望,0.3789917700924266,0.38383349565276104,0.538165025935913,0.4241627877428799,0.5437920182251148,0.39572341491224616
127007,湖广转债,湖北广电,0.35756861171017107,0.3555434839376886,0.5009573758732916,0.4093036558912539,0.521026711668336,0.40221125397305824
113017,吉视转债,吉视传媒,0.3782794241561889,0.377694857061242,0.519690521406261,0.4185612611581459,0.5301840486999865,0.40272457767636344
113543,欧派转债,欧派家居,0.4000767750355643,0.4101656565488037,0.5649812966581226,0.4642217819761443,0.5796046472860156,0.40579052131653165
110034,九州转债,九州通,0.4114986179448927,0.4179554728399412,0.5753362773493919,0.4524323515716275,0.5754765286652026,0.4096552280436232
113570,百达转债,百达精工,0.3446036751552893,0.33595049297438445,0.4743544403803049,0.40319013390842895,0.4986041690312995,0.4101598839100597
113516,苏农转债,苏农银行,0.3647727823442229,0.362214518019767,0.5318975265060407,0.4182267901284058,0.5405873526927504,0.41034291442635956
110038,济川转债,济川药业,0.40843622371926713,0.41119355600116086,0.5675024259091891,0.44254504747721574,0.5667998487817992,0.41143367983172574
113024,核建转债,中国核建,0.316606608226465,0.3126808709083561,0.44542297845058737,0.3996240691742114,0.4865654596709332,0.41332820401588855
113544,桃李转债,桃李面包,0.3893591257137362,0.3951610981904742,0.5567068013436625,0.4649138404156786,0.5834836141713725,0.4137513663044622
