,,,,,,涨跌,,,价值,,价值,,价值,触发价,触发价,占比,持仓,,年限,税前收益,税后收益,收益,(万元),,,
123004,铁汉转债,109.2,2.00%,铁汉生态?R,3.14,2.28%,1.14,3.98*,78.89,38.42%,购买,AA,购买,2.79,5.17,11.30%,15.11%,2023/12/18,3.693,8.332,0.15%,-0.34%,购买,659.01,147.62,
123039,开润转债,113.06,0.14%,开润股份,27.17,1.68%,7.59,33.34,81.49,38.74%,购买,A+,购买,23.34,43.34,3.80%,-,2025/12/25,5.715,2.23,1.30%,0.64%,购买,138.71,151.8,
113516,苏农转债,109.56,0.79%,苏农银行?R,4.47,0.22%,0.71,5.67,78.84,38.96%,购买,AA+,购买,-,7.37,16.00%,7.57%,2024/8/1,4.315,12.887,1.18%,0.54%,购买,1331.01,148.52,
128044,岭南转债,109.634,-0.06%,岭南股份,4.66,0.00%,1.51,5.92*,78.72,39.27%,购买,AA,购买,4.14,7.7,9.20%,23.22%,2024/8/14,4.351,6.593,0.46%,-0.04%,购买,192.22,148.9,
113013,国君转债,120.02,0.27%,国泰君安?R,16.71,0.42%,1.08,19.4,86.13,39.35%,购买,AAA,购买,-,25.22,4.70%,18.15%,2023/7/6,3.241,70,-2.91%,-3.42%,购买,2977.57,159.37,
128071,合兴转债,109.156,0.10%,合兴包装,3.41,0.29%,1.35,4.38,77.85,40.21%,购买,AA,购买,3.07,5.69,14.90%,0.36%,2025/8/15,5.353,5.957,1.01%,0.50%,购买,976.29,149.37,
128036,金农转债,146.699,-4.86%,金新农?R,10.04,0.90%,2.53,9.62,104.37,40.56%,购买,AA-,购买,6.73,12.51,3.40%,4.16%,2024/3/9,3.918,1.469,-7.13%,-7.57%,购买,101085.44,187.26,
113029,明阳转债,113.75,0.57%,明阳智能?R,10.21,-0.39%,2.3,12.66,80.65,41.04%,购买,AA,购买,8.86,16.46,12.10%,-,2025/12/16,5.69,17,-0.07%,-0.49%,购买,1224.88,154.79,
113022,浙商转债,116.85,0.12%,浙商证券?R,10.33,1.77%,2.32,12.46,82.91,40.94%,购买,AAA,购买,-,16.2,10.20%,12.96%,2025/3/12,4.926,35,-1.28%,-1.64%,购买,4070.41,157.79,
113535,大业转债,105.5,0.07%,大业股份,9.4,0.43%,1.6,12.56,74.84,40.97%,购买,AA,购买,8.79,16.33,18.30%,-,2024/5/8,4.082,5,1.83%,1.22%,购买,1204.73,146.47,
123036,先导转债,135.527,0.03%,先导智能?R,37.66,-0.89%,8.63,39.15,96.19,40.90%,购买,AA,购买,27.41,50.9,3.00%,-,2025/12/10,5.674,10,-2.88%,-3.34%,购买,1239.98,176.43,
